year,title_field,value
2014,Total Population,128200
2014,Male Population,63524
2014,Male Under 5 years,4082
2014,Male 5 to 9 years,3466
2014,Male 10 to 14 years,3347
2014,Male 15 to 17 years,1795
2014,Male 18 and 19 years,3465
2014,Male 20 years,2010
2014,Male 21 years,1888
2014,Male 22 to 24 years,5838
2014,Male 25 to 29 years,7862
2014,Male 30 to 34 years,5282
2014,Male 35 to 39 years,4971
2014,Male 40 to 44 years,4205
2014,Male 45 to 49 years,2974
2014,Male 50 to 54 years,2261
2014,Male 55 to 59 years,2304
2014,Male 60 and 61 years,1256
2014,Male 62 to 64 years,1291
2014,Male 65 and 66 years,1547
2014,Male 67 to 69 years,1013
2014,Male 70 to 74 years,1373
2014,Male 75 to 79 years,725
2014,Male 80 to 84 years,407
2014,Male 85 years and over,162
2014,Female Population,64676
2014,Female Under 5 years,3730
2014,Female 5 to 9 years,2784
2014,Female 10 to 14 years,3611
2014,Female 15 to 17 years,2400
2014,Female 18 and 19 years,4599
2014,Female 20 years,1883
2014,Female 21 years,3766
2014,Female 22 to 24 years,4256
2014,Female 25 to 29 years,4819
2014,Female 30 to 34 years,4881
2014,Female 35 to 39 years,4452
2014,Female 40 to 44 years,3152
2014,Female 45 to 49 years,3726
2014,Female 50 to 54 years,3383
2014,Female 55 to 59 years,3415
2014,Female 60 and 61 years,1367
2014,Female 62 to 64 years,1590
2014,Female 65 and 66 years,1172
2014,Female 67 to 69 years,1368
2014,Female 70 to 74 years,1951
2014,Female 75 to 79 years,871
2014,Female 80 to 84 years,786
2014,Female 85 years and over,714
2013,Total Population,123105
2013,Male Population,58775
2013,Male Under 5 years,2430
2013,Male 5 to 9 years,3223
2013,Male 10 to 14 years,3383
2013,Male 15 to 17 years,2759
2013,Male 18 and 19 years,3553
2013,Male 20 years,1518
2013,Male 21 years,1997
2013,Male 22 to 24 years,4329
2013,Male 25 to 29 years,7747
2013,Male 30 to 34 years,4921
2013,Male 35 to 39 years,3217
2013,Male 40 to 44 years,3309
2013,Male 45 to 49 years,3839
2013,Male 50 to 54 years,2800
2013,Male 55 to 59 years,2560
2013,Male 60 and 61 years,1105
2013,Male 62 to 64 years,2049
2013,Male 65 and 66 years,810
2013,Male 67 to 69 years,848
2013,Male 70 to 74 years,1225
2013,Male 75 to 79 years,405
2013,Male 80 to 84 years,576
2013,Male 85 years and over,172
2013,Female Population,64330
2013,Female Under 5 years,2049
2013,Female 5 to 9 years,3133
2013,Female 10 to 14 years,3593
2013,Female 15 to 17 years,3256
2013,Female 18 and 19 years,4885
2013,Female 20 years,3259
2013,Female 21 years,2754
2013,Female 22 to 24 years,4943
2013,Female 25 to 29 years,4960
